품목보고번호,허가일자,LAST_UPDT_DTM,LCNS_NO,제품명,QLITY_MNTNC_TMLMT_DAYCNT,업소명,식품유형,CHILD_CRTFC_YN,INDUTY_CD_NM,DISPOS,포장재질,USAGE,ETQTY_XPORT_PRDLST_YN,유통기한,HIENG_LNTRT_DVS_NM,PRODUCTION,PRPOS
1976026300482 ,20200203,20240727,19760263004 ,덴마크 푸르티 복숭아,,(주)동원F&B수원공장,과.채주스,,식품제조가공업,"고유의 색택과 향미를 가진 액상으로서 이미, 이취가 없음",폴리에틸렌,직접 음용,N,제조일로부터 9개월,해당없음,아니오,
1976026300483 ,20200203,20240726,19760263004 ,덴마크 푸르티 사과,,(주)동원F&B수원공장,과.채주스,,식품제조가공업,"고유의 색택과 향미를 가진 액상으로서 이미, 이취가 없음",폴리에틸렌,직접음용,N,제조일로부터 9개월,해당없음,아니오,
1976026300492 ,20200203,20200814,19760263004 ,유기농주스 덴마크목장 배도라지,,(주)동원F&B수원공장,과.채주스,,식품제조가공업,"고유의 색택과 향미를 가진 액상으로서 이미, 이취가 없음",폴리에틸렌,직접음용,N,제조일로부터 8개월,해당없음,아니오,
1976026300481 ,20200203,20240727,19760263004 ,덴마크 푸르티 포도,,(주)동원F&B수원공장,과.채주스,,식품제조가공업,"고유의 색택과 향미를 가진 액상으로서 이미, 이취가 없음",폴리에틸렌,직접 음용,N,제조일로부터 9개월,해당없음,아니오,
20020467215143 ,20200131,20200201,20020467215 ,석류농축액,,농업회사법인 주식회사 한국삼,과.채주스,,식품제조가공업,"고유의 색택과 향미를 가지고 이미, 이취가 없어야 한다,",PE,식품 원료 / 제품 제조 배합 비율에 맞게 혼합하여 가공  등,O,제조일로부터 24개월까지,해당없음,아니오,
1976026300490 ,20200130,20200205,19760263004 ,라토앤 트로피칼,,(주)동원F&B수원공장,과.채음료,,식품제조가공업,"고유의 색택과 향미를 가진 액상으로서 이미, 이취가 없어야 한다.",폴리에틸렌,직접 음용,N,제조일로부터 6개월,아니오,아니오,
19710570001615 ,20200121,20200122,19710570001 ,제주감귤,,주식회사 네이처셀 칠곡공장,혼합음료,,식품제조가공업,"고유의 색택과 향미를 지니며 이미, 이취, 이물이 없을 것","캔류(철,알미늄)",제품 그대로 음용한다.,N,12개월,해당없음,아니오,
1976026300485 ,20200121,20200124,19760263004 ,스콜 복숭아,,(주)동원F&B수원공장,유산균음료,,식품제조가공업,"고유의 색택과 향미를 가진 액상으로서 이미, 이취가 없어야 한다.",폴리에틸렌,직접음용,N,제조일로부터 5개월,아니오,아니오,
1976026300486 ,20200121,20200131,19760263004 ,스콜 청포도,,(주)동원F&B수원공장,유산균음료,,식품제조가공업,"고유의 색택과 향미를 가진 액상으로서 이미, 이취가 없어야 한다.",폴리에틸렌,직접 음용,N,제조일로부터 5개월,해당없음,아니오,
1976026300484 ,20200120,20240726,19760263004 ,스콜 사과,,(주)동원F&B수원공장,유산균음료,,식품제조가공업,"고유의 색택과 향미를 가진 액상으로서 이미, 이취가 없어야 한다.",폴리에틸렌,직접음용,N,제조일로부터 6개월,아니오,아니오,
